epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.701,3.03755,6.50779,4.26977,0,0,0,0,2.70278,6.374,4.1484,4.93151e-06,4.93151e-06,4.93151e-06
2,263.018,3.01621,6.50983,4.24432,0,0,0,0,2.70819,6.38058,4.13985,9.60377e-06,9.60377e-06,9.60377e-06
3,613.506,3.08879,6.49861,4.2467,0,0,0,0,2.72122,6.48424,4.16641,1.3946e-05,1.3946e-05,1.3946e-05
4,909.041,3.08175,6.49771,4.24394,0,0,0,0,2.72996,6.87279,4.28342,1.3515e-05,1.3515e-05,1.3515e-05
5,1179.32,3.04734,6.47599,4.23498,0,0,0,0,2.73689,6.68904,4.26581,1.302e-05,1.302e-05,1.302e-05
6,1443.94,3.02085,6.47409,4.23275,0,0,0,0,2.72714,6.69498,4.22994,1.2525e-05,1.2525e-05,1.2525e-05
7,309.575,3.02212,6.48458,4.22065,0,0,0,0,2.72841,6.66958,4.21856,1.203e-05,1.203e-05,1.203e-05
8,615.519,3.07973,6.47716,4.20866,0,0,0,0,2.73775,6.68914,4.23837,1.1535e-05,1.1535e-05,1.1535e-05
9,914.043,3.06777,6.47116,4.20347,0,0,0,0,2.75166,6.75819,4.26425,1.104e-05,1.104e-05,1.104e-05
10,1219.2,3.03681,6.45825,4.20313,0,0,0,0,2.73625,6.68146,4.21116,1.0545e-05,1.0545e-05,1.0545e-05
11,1526.66,3.01166,6.46049,4.20398,0,0,0,0,2.74291,6.63509,4.20865,1.005e-05,1.005e-05,1.005e-05
12,1835.45,3.0888,6.47551,4.20785,0,0,0,0,2.74228,6.63333,4.19064,9.555e-06,9.555e-06,9.555e-06
13,2125.96,3.04442,6.4683,4.20126,0,0,0,0,2.74453,6.62394,4.19829,9.06e-06,9.06e-06,9.06e-06
14,2421.56,3.05696,6.46237,4.1951,0,0,0,0,2.73166,6.66225,4.19402,8.565e-06,8.565e-06,8.565e-06
15,2714.21,3.06398,6.46815,4.19095,0,0,0,0,2.74386,6.66117,4.20078,8.07e-06,8.07e-06,8.07e-06
16,2996.13,3.04829,6.46596,4.19157,0,0,0,0,2.74138,6.64068,4.18095,7.575e-06,7.575e-06,7.575e-06
17,3263.02,3.06426,6.45646,4.18791,0,0,0,0,2.74915,6.64978,4.17583,7.08e-06,7.08e-06,7.08e-06
18,3545.93,3.04841,6.46142,4.18709,0,0,0,0,2.75449,6.64088,4.17431,6.585e-06,6.585e-06,6.585e-06
19,3807.87,3.06266,6.46766,4.19327,0,0,0,0,2.73742,6.62233,4.17686,6.09e-06,6.09e-06,6.09e-06
20,4069.47,3.04577,6.4551,4.17809,0,0,0,0,2.75203,6.65343,4.18271,5.595e-06,5.595e-06,5.595e-06
21,4325.32,3.02019,6.43657,4.1804,0,0,0,0,2.74731,6.62385,4.18189,5.1e-06,5.1e-06,5.1e-06
22,4582.49,3.06173,6.4555,4.18427,0,0,0,0,2.74265,6.64388,4.17782,4.605e-06,4.605e-06,4.605e-06
23,4839,3.04285,6.45532,4.18205,0,0,0,0,2.75619,6.63455,4.17608,4.11e-06,4.11e-06,4.11e-06
24,5092.13,3.03992,6.45385,4.17633,0,0,0,0,2.74969,6.63874,4.17474,3.615e-06,3.615e-06,3.615e-06
25,5346.4,3.05781,6.46628,4.17798,0,0,0,0,2.74315,6.62457,4.17744,3.12e-06,3.12e-06,3.12e-06
26,5622.23,2.72771,7.06842,4.17808,0,0,0,0,2.76082,6.7531,4.1848,2.625e-06,2.625e-06,2.625e-06
27,5912.76,2.73636,7.02925,4.18201,0,0,0,0,2.7758,6.76057,4.19074,2.13e-06,2.13e-06,2.13e-06
28,6193.03,2.76066,7.06265,4.18419,0,0,0,0,2.77914,6.72633,4.20285,1.635e-06,1.635e-06,1.635e-06
29,6443.25,2.76433,7.07181,4.17516,0,0,0,0,2.76083,6.76631,4.19032,1.14e-06,1.14e-06,1.14e-06
30,6692.85,2.74486,7.06529,4.17698,0,0,0,0,2.76763,6.74537,4.18987,6.45e-07,6.45e-07,6.45e-07
